env_name,algname,gamma,epsilon,threshold,Iteration,V_variation,V_delta,V_max_diff,V_average,V_sum,clock_time,# chg action at iter,# chg actions
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,1,2.301662703906251,152.57068997301053,2.301662703906251,-0.8402718790164105,-756.2446911147695,0.017179012298583984,281,281
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,2,1.9,32.05548634228387,1.9,-0.8046546719694287,-724.1892047724858,0.03579425811767578,150,431
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,3,1.7574999999999998,17.912919665816716,1.7574999999999998,-0.784751427896299,-706.2762851066691,0.05098533630371094,111,542
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,4,1.5721249999999998,14.78395010808756,1.5721249999999998,-0.7683248166650908,-691.4923349985817,0.06564760208129883,92,634
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,5,1.3713428125,10.472163590127307,1.3713428125,-0.7566890793427271,-681.0201714084544,0.08038067817687988,80,714
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,6,1.255275671875,11.67762371494915,1.255275671875,-0.7437139418816725,-669.3425476935053,0.09315061569213867,97,811
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,7,1.0950118882812498,17.97257995246653,1.0950118882812498,-0.7237444086011543,-651.3699677410389,0.10622024536132812,90,901
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,8,0.940748229173828,13.062468171183045,0.940748229173828,-0.7092305550776176,-638.3074995698558,0.11898136138916016,82,983
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,9,0.7962108177151366,9.753851436845784,0.7962108177151366,-0.6983929423700113,-628.5536481330101,0.1318652629852295,84,1067
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,10,0.7064002768293798,7.342871690024134,0.7064002768293798,-0.6902341960477624,-621.2107764429861,0.14472723007202148,79,1146
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,11,0.6210802629879109,10.275918512191678,0.6210802629879109,-0.6788165088119937,-610.9348579307944,0.15835309028625488,87,1233
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,12,0.4873736904792605,9.552960697236145,0.4873736904792605,-0.6682021080372871,-601.3818972335583,0.17238712310791016,101,1334
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,13,0.3898736904792601,7.388851296697651,0.3898736904792601,-0.6599922732631786,-593.9930459368607,0.18962407112121582,84,1418
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,14,0.2543610056575324,3.2893356661541344,0.2543610056575324,-0.6563374558563407,-590.7037102707067,0.2034909725189209,69,1487
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,15,0.1916429553746557,1.0839511300355957,0.1916429553746557,-0.6551330657118567,-589.619759140671,0.21745705604553223,50,1537
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,16,0.1320608076059231,0.6676985921901788,0.1320608076059231,-0.6543911783872011,-588.952060548481,0.23218011856079102,47,1584
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,17,0.07545776722562703,0.269743059405596,0.07545776722562703,-0.6540914638767503,-588.6823174890753,0.24647784233093262,41,1625
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,18,0.02168487886434578,0.12794078529966135,0.02168487886434578,-0.6539493074486397,-588.5543767037757,0.26035571098327637,38,1663
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,19,0.02060063492112829,0.020600634921149746,0.02060063492112829,-0.6539264178542828,-588.5337760688545,0.27332258224487305,33,1696
"frozen-lake-(30, 30)",PI,0.95,0.001,5.263157894736847e-05,20,4.440892098500626e-16,2.2005789003885998e-14,4.440892098500626e-16,-0.6539264178542828,-588.5337760688545,0.290604829788208,34,1730
